Section reference,Weight kg/m,Area cm2,Depth mm,Flange mm,t mm,Iy cm4,Iz cm4,Wel.y cm3,Wel.z cm3,iy cm,iz cm,Cy cm,Cz cm,My.Rd kNm,Mz.Rd kNm
142 C 13,2.85,3.63,142,60,1.3,119,17.6,16.76,4.18,5.69,2.19,7.1,1.8,6.022,1.882
142 C 14,3.06,3.9,142,60,1.4,127.7,18.8,17.99,4.48,5.68,2.18,7.1,1.8,6.79,2.016
142 C 15,3.28,4.17,142,60,1.5,136.4,20.1,19.22,4.77,5.68,2.18,7.1,1.8,7.566,2.148
142 C 16,3.49,4.44,142,60,1.6,145.1,21.3,20.44,5.06,5.67,2.17,7.1,1.8,8.341,2.279
142 C 18,3.9,4.97,142,60,1.8,162.2,23.7,22.85,5.63,5.67,2.16,7.1,1.8,9.862,2.535
142 C 20,4.32,5.5,142,60,2,179.1,26,25.23,6.19,5.66,2.16,7.1,1.8,11.315,2.787
172 C 13,3.26,4.15,172,65,1.3,194.7,22.7,22.64,4.83,6.81,2.32,8.6,1.81,7.507,2.174
172 C 14,3.5,4.46,172,65,1.4,209.1,24.3,24.32,5.18,6.81,2.32,8.6,1.81,8.505,2.33
172 C 15,3.75,4.77,172,65,1.5,223.5,25.9,25.98,5.52,6.8,2.31,8.6,1.81,9.523,2.484
172 C 16,3.99,5.08,172,65,1.6,237.7,27.5,27.64,5.86,6.8,2.31,8.6,1.81,10.552,2.636
172 C 18,4.47,5.69,172,65,1.8,266,30.6,30.93,6.52,6.79,2.3,8.6,1.81,12.607,2.935
172 C 20,4.94,6.3,172,65,2,294,33.6,34.18,7.17,6.78,2.29,8.6,1.81,14.61,3.228
172 C 23,5.65,7.2,172,65,2.3,335.3,38.1,38.99,8.13,6.76,2.28,8.6,1.81,17.466,3.656
172 C 25,6.11,7.79,172,65,2.5,362.5,41,42.16,8.74,6.75,2.27,8.6,1.82,19.278,3.934
202 C 13,3.57,4.54,202,65,1.3,282.9,23.8,28.01,4.91,7.85,2.28,10.1,1.66,8.862,2.209
202 C 14,3.83,4.88,202,65,1.4,303.9,25.4,30.09,5.26,7.85,2.27,10.1,1.66,10.076,2.367
202 C 15,4.1,5.22,202,65,1.5,324.8,27.1,32.16,5.61,7.84,2.27,10.1,1.66,11.312,2.523
202 C 16,4.36,5.56,202,65,1.6,345.6,28.8,34.22,5.95,7.84,2.26,10.1,1.66,12.56,2.678
