,Dead Load on Rafter (kN/m),Eaves Height (m),Span of Frame (m),,,,,
,,,15,20,25,30,35,40
Rafter,8,6,254x102x22 UKB,254x146x31 UKB,356x127x39 UKB,356x171x45 UKB,356x171x57 UKB,356x171x67 UKB
,8,8,254x102x22 UKB,254x146x31 UKB,356x127x39 UKB,356x171x51 UKB,356x171x67 UKB,457x191x67 UKB
,8,10,254x102x22 UKB,254x146x31 UKB,356x127x39 UKB,356x171x51 UKB,356x171x67 UKB,457x191x67 UKB
,8,12,*,254x146x31 UKB,356x127x39 UKB,356x171x51 UKB,356x171x67 UKB,457x191x67 UKB
Restrained Column,8,6,305×165×40 UKB,305×165×46 UKB,406×178×67 UKB,457×191×82 UKB,533×210×92 UKB,610×229×113 UKB
,8,8,305×165×40 UKB,305×165×46 UKB,406×178×67 UKB,457×191×82 UKB,533×210×101 UKB,610×229×113 UKB
,8,10,305×165×40 UKB,305×165×54 UKB,406×178×67 UKB,457×191×82 UKB,533×210×101 UKB,610×229×125 UKB
,8,12,*,305×165×54 UKB,406×178×67 UKB,457×191×82 UKB,533×210×101 UKB,610×229×125 UKB
Unrestrained Column,8,6,305×165×46 UKB,457×191×67 UKB,533×210×82 UKB,610×229×113 UKB,610×229×113 UKB,610×229×125 UKB
,8,8,406×178×60 UKB,457×191×82 UKB,610×229×101 UKB,610×229×113 UKB,686×254×125 UKB,762×267×147 UKB
,8,10,406×178×67 UKB,533×210×92 UKB,610×229×113 UKB,610×229×125 UKB,762×267×147 UKB,610×305×149 UKB
,8,12,*,610×229×101 UKB,610×229×125 UKB,762×267×147 UKB,610×305×149 UKB,838×292×194 UKB
Rafter,10,6,254×102×25 UKB,254×146×31 UKB,356×171×45 UKB,356×171×57 UKB,356×171×67 UKB,457×191×82 UKB
,10,8,254×102×25 UKB,254×146×31 UKB,356×171×45 UKB,356×171×57 UKB,457×191×67 UKB,457×191×82 UKB
,10,10,254×102×25 UKB,356×127×39 UKB,356×171×45 UKB,356×171×57 UKB,457×191×67 UKB,457×191×82 UKB
,10,12,*,356×127×39 UKB,356×171×45 UKB,356×171×67 UKB,457×191×67 UKB,533×210×82 UKB
Restrained Column,10,6,305×165×40 UKB,406×178×60 UKB,406×178×74 UKB,533×210×92 UKB,610×229×113 UKB,610×229×125 UKB
,10,8,305×165×40 UKB,406×178×60 UKB,457×191×82 UKB,533×210×92 UKB,610×229×113 UKB,610×229×125 UKB
,10,10,305×165×40 UKB,406×178×60 UKB,457×191×82 UKB,533×210×101 UKB,610×229×113 UKB,610×229×140 UKB
,10,12,*,406×178×60 UKB,457×191×82 UKB,533×210×101 UKB,610×229×125 UKB,610×229×140 UKB
Unrestrained Column,10,6,406×178×54 UKB,457×191×74 UKB,533×210×92 UKB,610×229×101 UKB,610×229×125 UKB,610×229×125 UKB
,10,8,457×191×67 UKB,533×210×92 UKB,610×229×113 UKB,686×254×125 UKB,686×254×140 UKB,610×305×149 UKB
,10,10,457×191×74 UKB,610×229×101 UKB,610×229×125 UKB,762×267×147 UKB,610×305×149 UKB,838×292×194 UKB
,10,12,*,610×229×113 UKB,686×254×140 UKB,610×305×149 UKB,838×292×194 UKB,914×305×224 UKB
Rafter,12,6,254×102×28 UKB,356×127×39 UKB,356×171×51 UKB,356×171×67 UKB,457×191×82 UKB,533×210×82 UKB
