Section reference,Weight kg/m,Area cm2,Depth mm,Top flange mm,Bottom flange mm,t mm,Iy cm4,Iz cm4,Wel.y cm3,Wel.z cm3,iy cm,iz cm,Cy cm,Cz cm,My.Rd kNm,Mz.Rd kNm
142 Z 13,2.84,3.62,142,60,55,1.3,117.4,27.2,16.34,4.65,5.66,2.72,7.19,5.52,6.007,2.091
142 Z 14,3.05,3.89,142,60,55,1.4,126.1,29.1,17.54,4.98,5.66,2.72,7.19,5.52,6.776,2.240
142 Z 15,3.26,4.16,142,60,55,1.5,134.6,31.0,18.74,5.31,5.65,2.71,7.19,5.51,7.554,2.388
142 Z 16,3.47,4.42,142,60,55,1.6,143.2,32.9,19.93,5.63,5.65,2.71,7.19,5.51,8.330,2.534
142 Z 18,3.89,4.95,142,60,55,1.8,160.1,36.5,22.28,6.27,5.64,2.69,7.19,5.49,9.850,2.821
142 Z 20,4.30,5.48,142,60,55,2.0,176.8,40.1,24.60,6.89,5.63,2.68,7.19,5.48,11.302,3.101
172 Z 13,3.25,4.14,172,65,60,1.3,192.6,33.9,22.17,5.33,6.79,2.85,8.69,6.01,7.497,2.397
172 Z 14,3.49,4.45,172,65,60,1.4,206.9,36.3,23.81,5.71,6.78,2.84,8.69,6.01,8.498,2.569
172 Z 15,3.73,4.76,172,65,60,1.5,221.1,38.6,25.44,6.09,6.78,2.83,8.69,6.00,9.517,2.739
172 Z 16,3.98,5.06,172,65,60,1.6,235.2,41.0,27.07,6.46,6.77,2.83,8.69,6.00,10.547,2.908
172 Z 18,4.45,5.67,172,65,60,1.8,263.1,45.6,30.29,7.20,6.76,2.81,8.69,5.99,12.603,3.239
172 Z 20,4.93,6.28,172,65,60,2.0,290.8,50.1,33.47,7.92,6.75,2.80,8.69,5.98,14.606,3.564
172 Z 23,5.63,7.17,172,65,60,2.3,331.7,56.6,38.18,8.97,6.74,2.78,8.69,5.96,17.460,4.038
172 Z 25,6.09,7.76,172,65,60,2.5,358.6,60.8,41.28,9.66,6.73,2.77,8.69,5.95,19.271,4.346
202 Z 13,3.56,4.53,202,65,60,1.3,280.2,33.9,27.49,5.32,7.83,2.72,10.19,6.01,8.854,2.395
202 Z 14,3.82,4.87,202,65,60,1.4,301.0,36.3,29.53,5.70,7.82,2.71,10.19,6.00,10.072,2.567
202 Z 15,4.09,5.21,202,65,60,1.5,321.7,38.6,31.56,6.08,7.82,2.71,10.19,6.00,11.310,2.737
202 Z 16,4.35,5.54,202,65,60,1.6,342.4,41.0,33.58,6.46,7.81,2.70,10.19,5.99,12.559,2.905
202 Z 18,4.88,6.21,202,65,60,1.8,383.3,45.6,37.60,7.19,7.80,2.69,10.19,5.98,15.051,3.236
202 Z 20,5.40,6.88,202,65,60,2.0,423.8,50.1,41.57,7.91,7.79,2.68,10.19,5.97,17.486,3.560
202 Z 23,6.17,7.86,202,65,60,2.3,483.8,56.6,47.45,8.96,7.78,2.66,10.19,5.96,20.984,4.034
202 Z 27,7.19,9.16,202,65,60,2.7,562.3,64.9,55.16,10.32,7.76,2.64,10.19,5.94,25.403,4.642
232 Z 14,4.15,5.29,232,65,60,1.4,417.3,36.3,35.67,5.70,8.84,2.61,11.70,6.00,11.554,2.565
232 Z 15,4.44,5.66,232,65,60,1.5,446.1,38.6,38.14,6.08,8.84,2.60,11.70,5.99,13.022,2.734
232 Z 16,4.73,6.02,232,65,60,1.6,474.8,41.0,40.59,6.45,8.83,2.59,11.70,5.99,14.500,2.903
232 Z 18,5.30,6.75,232,65,60,1.8,531.7,45.6,45.45,7.19,8.82,2.58,11.70,5.98,17.450,3.234
232 Z 20,5.87,7.48,232,65,60,2.0,588.1,50.1,50.27,7.91,8.81,2.57,11.70,5.97,20.342,3.558
232 Z 23,6.71,8.55,232,65,60,2.3,671.8,56.6,57.42,8.96,8.79,2.55,11.70,5.95,24.526,4.031
232 Z 25,7.27,9.26,232,65,60,2.5,726.8,60.8,62.13,9.64,8.78,2.54,11.70,5.94,27.221,4.338
262 Z 15,4.79,6.11,262,65,60,1.5,596.2,38.6,45.16,6.07,9.83,2.50,13.20,5.99,14.614,2.733
262 Z 16,5.11,6.50,262,65,60,1.6,634.6,41.0,48.07,6.45,9.83,2.50,13.20,5.98,16.333,2.901
262 Z 18,5.73,7.29,262,65,60,1.8,710.9,45.6,53.85,7.18,9.82,2.49,13.20,5.97,19.763,3.231
262 Z 20,6.34,8.08,262,65,60,2.0,786.6,50.1,59.58,7.90,9.81,2.47,13.20,5.96,23.138,3.555
262 Z 23,7.26,9.24,262,65,60,2.3,898.9,56.6,68.08,8.95,9.79,2.46,13.20,5.95,28.051,4.028
262 Z 25,7.86,10.01,262,65,60,2.5,972.9,60.8,73.69,9.63,9.78,2.45,13.20,5.94,31.236,4.335
262 Z 29,9.06,11.54,262,65,60,2.9,1118.9,69.0,84.75,10.96,9.76,2.42,13.20,5.92,37.442,4.930
302 Z 18,7.10,9.04,302,90,82,1.8,1224.4,120.6,80.11,13.74,11.59,3.64,15.29,8.24,25.234,6.181
